scenario,event,poll,timer,mAction,mActionTimer,mX,mY,mZ,mVelY,mForwardVel,mWall,mFloorObject,mFloorHeight,mPlatform,mInput,mSquishTimer,mQuicksandDepth,hand,action,actionTimer,health,received,interactStatus,posX,posY,posZ,faceYaw,velY,gravity,moveFlags,collision,activeFlags,groundCollision,mesh,handTopY,postFrameMarioAboveHandTop,handTopAtOrBelowPostFrameMario,preQueryFloorMinusMario,preQueryFloorWithin78AboveMario,localXWorld,localZWorld,localXMesh,localZMesh,insideOpenTopXZ,sameHandFloor,sameHandPlatform
nonlethal_long_jump5,fixture_pose,479,478,03000888,0,-500.000,-1434.000,-3293.000,-2.000,5.000,00000000,00000000,-1534.000,00000000,0020,0,0.000,80342088,3,0,4,0,00000000,-500.000,-1534.000,-3393.000,0,0.000,0.000,00000080,80123658,0101,0,open,-1027.000,-407.000,false,507.000,false,0.000,100.000,0.000,66.667,false,false,false
nonlethal_long_jump5,retail_interaction_and_low_speed_wall,480,479,03000888,0,-500.000,-1354.000,-3266.000,28.000,0.000,80195600,00000000,-1534.000,00000000,0020,0,0.000,80342088,3,1,4,0,0000c003,-500.000,-1534.000,-3393.000,0,0.000,0.000,00000080,80123658,0101,0,open,-1027.000,-327.000,false,407.000,false,0.000,127.000,0.000,84.667,false,false,false
nonlethal_long_jump5,retail_attack_latch,481,480,03000888,0,-500.000,-1326.000,-3266.000,26.000,0.000,80195600,00000000,-1534.000,00000000,0024,0,0.000,80342088,3,2,4,3,00000000,-500.000,-1534.000,-3393.000,0,0.000,0.000,00000080,80123658,0101,0,open,-1027.000,-299.000,false,327.000,false,0.000,127.000,0.000,84.667,false,false,false
nonlethal_long_jump5,retail_nonlethal_response,482,481,03000888,0,-500.000,-1300.000,-3266.000,24.000,0.000,80195600,00000000,-1534.000,00000000,0024,0,0.000,80342088,12,0,3,0,00000000,-500.000,-1508.000,-3393.000,0,26.000,-4.000,00000080,80123658,0101,0,open,-1001.000,-299.000,false,325.000,false,0.000,127.000,0.000,84.667,false,false,false
nonlethal_long_jump5,open_top_ledge_reboard,495,494,0800034b,0,-500.000,-1027.000,-3326.000,-2.000,0.000,00000000,80342088,-1027.000,80342088,0024,0,0.000,80342088,12,13,3,0,00000000,-500.000,-1534.000,-3393.000,0,-26.000,-4.000,00000080,80123658,0101,0,open,-1027.000,0.000,true,117.000,false,0.000,67.000,0.000,44.667,true,true,true
nonlethal_long_jump5,next_frame_hand_grounded,496,495,0800034b,1,-500.000,-1027.000,-3326.000,0.000,0.000,00000000,80342088,-1027.000,80342088,0020,0,0.000,80342088,12,14,3,0,00000000,-500.000,-1534.000,-3393.000,0,-0.000,-4.000,00000001,80123658,0101,1,open,-1027.000,0.000,true,0.000,true,0.000,67.000,0.000,44.667,true,true,true
nonlethal_long_jump5,recovery_closed_mesh_swap,507,506,010208b6,0,-500.000,-1127.000,-3258.000,-4.000,-8.000,00000000,80342088,-1228.000,00000000,0024,0,0.000,80342088,13,0,3,0,00000000,-500.000,-1534.000,-3393.000,0,-0.000,-4.000,00000002,801235d4,0101,1,closed_or_other,-1228.000,101.000,true,-201.000,false,0.000,135.000,0.000,90.000,false,true,false
nonlethal_long_jump5,closed_top_reacquired,514,513,04000471,0,-500.000,-1228.000,-3204.000,-32.000,-8.000,00000000,80342088,-1228.000,80342088,0020,0,0.000,80342088,13,7,3,0,00000000,-500.000,-1534.000,-3393.000,0,-0.000,-4.000,00000002,801235d4,0101,1,closed_or_other,-1228.000,0.000,true,-17.000,false,0.000,189.000,0.000,126.000,false,true,true
nonlethal_long_jump5,later_same_hand_lift_peak,540,539,0c400201,0,-500.000,-928.000,-3180.000,0.000,0.000,00000000,80342088,-928.000,80342088,0020,0,0.000,80342088,7,0,3,0,00000000,-500.000,-1234.000,-3393.000,0,0.000,0.000,00000080,801235d4,0101,0,closed_or_other,-928.000,0.000,true,20.000,true,0.000,213.000,0.000,142.000,false,true,true
lethal_long_jump5,fixture_pose,479,478,03000888,0,-500.000,-1434.000,-3293.000,-2.000,5.000,00000000,00000000,-1534.000,00000000,0020,0,0.000,80342088,3,0,2,0,00000000,-500.000,-1534.000,-3393.000,0,0.000,0.000,00000080,80123658,0101,0,open,-1027.000,-407.000,false,507.000,false,0.000,100.000,0.000,66.667,false,false,false
