steerLabel,stickX,stickY,switchRelativePoll,afterStickX,afterStickY,event,targetPresent,candidateGap,poll,timer,mAction,mY,mVelY,mFloorObject,mFloorHeight,mPlatform,handAction,handActionTimer,handVelY,handGravity,groundCollision,handTopY,postFrameMarioAboveHandTop,preQueryFloorMinusMario,localXWorld,localZWorld,localXMesh,localZMesh,insideOpenTopXZ,sameHandFloor,sameHandPlatform
x_plus,127,0,0,127,0,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,375.508,231.093,250.339,154.062,false,false,false
x_minus,-127,0,0,-127,0,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-378.661,222.288,-252.441,148.192,false,false,false
y_plus,0,127,0,0,127,early_height_candidate_xz_outside,true,63,502,501,03000888,-946.000,16.000,00000000,-1534.000,00000000,15,20,-34.000,-4.000,0,-901.000,-45.000,63.000,-2.025,127.000,-1.350,84.667,false,false,false
y_plus,0,127,0,0,127,early_height_candidate_xz_outside,true,7,503,502,03000888,-930.000,14.000,00000000,-1534.000,00000000,15,21,-38.000,-4.000,0,-939.000,9.000,7.000,-2.117,123.200,-1.411,82.133,false,false,false
y_plus,0,127,0,0,127,later_target_floor_selected_hand_already_grounded,true,,509,508,03000888,-876.000,2.000,80342088,-1027.000,00000000,15,27,-0.000,-4.000,1,-1027.000,151.000,-147.000,-2.608,76.252,-1.739,50.835,true,true,false
y_plus,0,127,0,0,127,last_target_floor_selected_no_landing,true,,518,517,03000888,-930.000,-16.000,80342088,-1027.000,00000000,15,36,-0.000,-4.000,1,-1027.000,97.000,-111.000,-3.298,-71.792,-2.199,-47.861,true,true,false
y_plus,0,127,0,0,127,far_edge_floor_lost_before_landing,true,,519,518,03000888,-946.000,-18.000,00000000,-1534.000,00000000,15,37,-0.000,-4.000,1,-1027.000,81.000,-97.000,-3.374,-93.991,-2.249,-62.661,false,false,false
y_plus,0,127,0,0,127,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-3.528,-141.839,-2.352,-94.559,false,false,false
y_minus,0,-127,0,0,-127,final_live_before_deletion_no_landing,true,,521,520,04000440,-1534.000,0.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,-507.000,507.000,1.866,638.725,1.244,425.817,false,false,false
xy_plus_plus,90,90,0,90,90,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,358.927,81.882,239.285,54.588,false,false,false
xy_plus_minus,90,-90,0,90,-90,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,208.240,606.917,138.827,404.611,false,false,false
xy_minus_plus,-90,90,0,-90,90,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-351.029,54.765,-234.019,36.510,false,false,false
xy_minus_minus,-90,-90,0,-90,-90,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,00000000,-1534.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-206.247,610.158,-137.498,406.772,false,false,false
brake32,0,127,32,0,-127,early_height_candidate_xz_outside,true,63,502,501,03000888,-946.000,16.000,00000000,-1534.000,00000000,15,20,-34.000,-4.000,0,-901.000,-45.000,63.000,-2.025,127.000,-1.350,84.667,false,false,false
brake32,0,127,32,0,-127,early_height_candidate_xz_outside,true,7,503,502,03000888,-930.000,14.000,00000000,-1534.000,00000000,15,21,-38.000,-4.000,0,-939.000,9.000,7.000,-2.117,123.200,-1.411,82.133,false,false,false
brake32,0,127,32,0,-127,later_target_floor_selected_hand_already_grounded,true,,509,508,03000888,-876.000,2.000,80342088,-1027.000,00000000,15,27,-0.000,-4.000,1,-1027.000,151.000,-147.000,-2.608,76.252,-1.739,50.835,true,true,false
brake32,0,127,32,0,-127,braked_inside_floor_selected_no_landing,true,,518,517,03000888,-930.000,-16.000,80342088,-1027.000,00000000,15,36,-0.000,-4.000,1,-1027.000,97.000,-111.000,-2.224,12.206,-1.483,8.137,true,true,false
brake32,0,127,32,0,-127,last_live_floor_selected_platform_null,true,,521,520,03000888,-984.000,-22.000,80342088,-1027.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-1.994,20.156,-1.329,13.437,true,true,false
brake32,0,127,32,0,-127,final_live_before_deletion_no_landing,true,,521,520,03000888,-984.000,-22.000,80342088,-1027.000,00000000,15,39,-0.000,-4.000,1,-1027.000,43.000,-63.000,-1.994,20.156,-1.329,13.437,true,true,false
brake32,0,127,32,0,-127,target_deleted_mario_still_21_above_top,false,,522,521,03000888,-1006.000,-24.000,80342088,-1027.000,00000000,,,,,,-1027.000,21.000,,-1.918,25.106,-1.279,16.737,true,true,false
brake32,0,127,32,0,-127,first_top_crossing_after_target_deleted,false,,523,522,03000888,-1030.000,-26.000,00000000,-1534.000,00000000,,,,,,-1027.000,-3.000,,-1.841,31.206,-1.227,20.804,true,false,false
