timer,label,speed,area,boss,bossAction,mAction,mX,mY,mZ,mVelX,mVelY,mVelZ,mForwardVel,floor,floorObject,floorHeight,ceil,ceilObject,ceilHeight,platform,handAction,handTimer,handX,handY,handZ,collision,cancelledXZ,pedroY
364,ordinary48,48,3,803467c8,0,50333832,254.750,-1532.000,-3115.500,0.000,0.000,0.000,48.000,80195540,00000000,237.739,80194ca0,00000000,768.000,00000000,0,1,224.000,-1534.000,-3393.000,801236d0,1,0
365,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,-2.000,-47.650,47.650,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,2,224.000,-1534.000,-3393.000,801236d0,0,0
366,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,3,224.000,-1534.000,-3393.000,801236d0,0,0
367,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,4,224.000,-1534.000,-3393.000,801236d0,0,0
368,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,5,224.000,-1534.000,-3393.000,801236d0,0,0
369,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,6,224.000,-1534.000,-3393.000,801236d0,0,0
370,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,7,224.000,-1534.000,-3393.000,801236d0,0,0
371,ordinary48,48,3,803467c8,0,134218571,254.750,-1421.000,-3175.500,0.000,0.000,-0.000,0.000,80195f00,80342088,-1421.000,80194ac0,00000000,-409.000,80342088,0,8,224.000,-1534.000,-3393.000,801236d0,0,0
364,tunnel424,424,3,803467c8,0,50333832,254.750,-1532.000,-3115.500,0.000,0.000,0.000,424.000,80195540,00000000,237.739,80194ca0,00000000,768.000,00000000,0,1,224.000,-1534.000,-3393.000,801236d0,1,0
365,tunnel424,424,3,803467c8,0,1145,254.750,-1459.000,-3115.500,0.000,-2.000,-422.650,422.650,801946d0,00000000,-1534.000,80194ac0,00000000,-409.000,00000000,0,2,224.000,-1534.000,-3393.000,801236d0,1,1
366,tunnel424,424,3,803467c8,1,1145,254.750,-1384.000,-3506.988,0.000,0.000,-418.650,418.650,80195cf0,80342088,-1384.000,80194ac0,00000000,-409.000,80342088,0,3,224.000,-1534.000,-3393.000,801236d0,0,0
367,tunnel424,424,3,803467c8,1,1145,255.000,-1330.000,-3904.000,0.000,0.000,-414.650,414.650,80194880,00000000,-1330.000,80194ac0,00000000,-409.000,00000000,0,4,209.000,-1494.452,-3393.000,801236d0,0,0
368,tunnel424,424,3,803467c8,1,1145,255.000,-1330.000,-3904.000,0.000,0.000,-410.650,410.650,80194880,00000000,-1330.000,80194ac0,00000000,-409.000,00000000,0,5,194.000,-1455.989,-3393.000,801236d0,0,0
369,tunnel424,424,3,803467c8,1,1145,255.000,-1330.000,-3904.000,0.000,0.000,-406.650,406.650,80194880,00000000,-1330.000,80194ac0,00000000,-409.000,00000000,0,6,179.000,-1416.946,-3393.000,801236d0,0,0
370,tunnel424,424,3,803467c8,1,1145,255.000,-1330.000,-3904.000,0.000,0.000,-402.650,402.650,80194880,00000000,-1330.000,80194ac0,00000000,-409.000,00000000,0,7,164.000,-1379.301,-3393.000,801236d0,0,0
371,tunnel424,424,3,803467c8,1,134218299,255.000,-1330.000,-3904.000,0.000,0.000,-0.000,0.000,80194880,00000000,-1330.000,80194ac0,00000000,-409.000,00000000,0,8,149.000,-1341.427,-3393.000,801236d0,0,0
