version,pre_timer,qstep,intended_x_bits,intended_y_bits,intended_z_bits,lower_wall_ptr,upper_wall_ptr,floor_height_bits,floor_type,floor_flags,floor_owner_ptr,ceil_ptr,ceil_height_bits,raw_x_bits,raw_y_bits,raw_z_bits
US,3,1,45b40000,00000000,45981800,00000000,00000000,bf2cfa23,37,00,00000000,00000000,469c4000,45b40000,bf2cfa23,45981800
US,3,2,45b40000,bf2cfa23,45986dd9,00000000,00000000,c03b6244,37,00,00000000,00000000,469c4000,45b40000,c03b6244,45986dd9
US,3,3,45b40000,c03b6244,4598c3b2,00000000,00000000,c0acf91c,37,00,00000000,00000000,469c4000,45b40000,c0acf91c,4598c3b2
US,3,4,45b40000,c0acf91c,4599198b,00000000,00000000,c0fc4011,37,00,00000000,00000000,469c4000,45b40000,c0fc4011,4599198b
US,4,1,45b40000,00000000,45981800,00000000,00000000,bf2cfa23,37,00,00000000,00000000,469c4000,45b40000,bf2cfa23,45981800
US,4,2,45b40000,bf2cfa23,45986dd9,00000000,00000000,c03b6244,37,00,00000000,00000000,469c4000,45b40000,c03b6244,45986dd9
US,4,3,45b40000,c03b6244,4598c3b2,00000000,00000000,c0acf91c,37,00,00000000,00000000,469c4000,45b40000,c0acf91c,4598c3b2
US,4,4,45b40000,c0acf91c,4599198b,00000000,00000000,c0fc4011,37,00,00000000,00000000,469c4000,45b40000,c0fc4011,4599198b
JP,3,1,45b40000,00000000,45981800,00000000,00000000,bf2cfa23,37,00,00000000,00000000,469c4000,45b40000,bf2cfa23,45981800
JP,3,2,45b40000,bf2cfa23,45986dd9,00000000,00000000,c03b6244,37,00,00000000,00000000,469c4000,45b40000,c03b6244,45986dd9
JP,3,3,45b40000,c03b6244,4598c3b2,00000000,00000000,c0acf91c,37,00,00000000,00000000,469c4000,45b40000,c0acf91c,4598c3b2
JP,3,4,45b40000,c0acf91c,4599198b,00000000,00000000,c0fc4011,37,00,00000000,00000000,469c4000,45b40000,c0fc4011,4599198b
JP,4,1,45b40000,00000000,45981800,00000000,00000000,bf2cfa23,37,00,00000000,00000000,469c4000,45b40000,bf2cfa23,45981800
JP,4,2,45b40000,bf2cfa23,45986dd9,00000000,00000000,c03b6244,37,00,00000000,00000000,469c4000,45b40000,c03b6244,45986dd9
JP,4,3,45b40000,c03b6244,4598c3b2,00000000,00000000,c0acf91c,37,00,00000000,00000000,469c4000,45b40000,c0acf91c,4598c3b2
JP,4,4,45b40000,c0acf91c,4599198b,00000000,00000000,c0fc4011,37,00,00000000,00000000,469c4000,45b40000,c0fc4011,4599198b
