timer,area2_poll,A,B,Z,stick_x,stick_y,action,x,y,z
516,1,1,0,0,0,0,00100345,0,4020,1331
517,2,1,0,0,-14,126,0300088d,-21.434082,4082,1307.7124
518,3,1,0,0,-9,127,0300088d,-42.6415405,4140,1284.01465
519,4,1,0,0,-4,127,0300088d,-63.9495697,4194,1260.20752
520,5,1,0,0,0,127,0300088d,-85.4262238,4244,1236.35303
521,6,1,0,0,105,-71,0300088d,-107.241409,4290,1212.60645
522,7,1,0,0,112,-61,0300088d,-129.293503,4332,1188.87402
523,8,1,0,0,117,-49,0300088d,-151.48082,4370,1165.0625
524,9,1,0,0,121,-38,0300088d,-173.848251,4404,1141.21387
525,10,1,0,0,124,-26,0300088d,-196.316757,4434,1117.25537
526,11,1,0,0,117,-49,0300088d,-218.92009,4460,1093.21875
527,12,1,0,0,121,-38,0300088d,-241.568222,4482,1069.02002
528,13,1,0,0,124,-26,0300088d,-264.317535,4500,1044.71143
529,14,1,0,0,123,-32,0300088d,-287.212921,4514,1020.33447
530,15,1,0,0,124,-26,0300088d,-310.220612,4524,995.858398
531,16,1,0,0,126,-19,0300088d,-333.329254,4530,971.272461
532,17,1,0,0,126,-12,0300088d,-356.583649,4532,946.618652
533,18,1,0,0,127,0,0300088d,-379.961212,4530,921.876465
534,19,1,0,0,126,13,0300088d,-403.090607,4524,896.701904
535,20,1,0,0,125,25,0300088d,-426.027252,4514,871.147949
536,21,1,0,0,121,37,0300088d,-449.064606,4500,845.484619
537,22,1,0,0,117,49,0300088d,-472.259308,4482,819.763672
538,23,1,0,0,112,60,0300088d,-495.622833,4460,793.994873
539,24,1,0,0,105,71,0300088d,-519.110291,4434,768.136719
540,25,1,0,0,98,81,0300088d,-542.778259,4404,742.240967
541,26,1,0,0,90,90,0300088d,-566.592957,4370,716.276611
542,27,1,0,0,80,98,0300088d,-590.531677,4332,690.222656
543,28,1,0,0,70,106,0300088d,-614.639832,4290,664.120605
544,29,1,0,0,60,112,0300088d,-638.928406,4244,637.980957
545,30,1,0,0,54,115,0300088d,-663.307068,4194,611.720703
546,31,1,0,0,124,26,0300088d,-687.843445,4140,585.402344
547,32,1,0,0,123,32,0300088d,-712.006775,4082,558.53833
548,33,1,0,0,121,38,0300088d,-736.293396,4020,531.585693
549,34,1,0,0,119,44,0300088d,-760.692322,3954,504.533691
550,35,0,0,0,117,50,0300088d,-785.226013,3884,477.403076
551,36,0,0,0,115,54,04000471,-803.727539,3840,456.995972
552,37,0,0,0,79,99,04000471,-828.599365,3840,429.973511
