kind,routine,pc,word,target_or_class
store,stop_sounds_from_source,803206fc,afb6002c,stack
store,stop_sounds_from_source,80320700,afb70030,stack
store,stop_sounds_from_source,80320704,afb50028,stack
store,stop_sounds_from_source,80320708,afb40024,stack
store,stop_sounds_from_source,8032070c,afb30020,stack
store,stop_sounds_from_source,80320710,afb2001c,stack
store,stop_sounds_from_source,8032071c,afbf0034,stack
store,stop_sounds_from_source,80320720,afb10018,stack
store,stop_sounds_from_source,80320724,afb00014,stack
call,stop_sounds_from_source,80320784,0c0c7839,8031e0e4
store,stop_sounds_from_source,8032078c,ae000014,audio-bank
store,stop_sounds_in_bank,803207e0,afb1001c,stack
store,stop_sounds_in_bank,80320804,afbf002c,stack
store,stop_sounds_in_bank,80320808,afb40028,stack
store,stop_sounds_in_bank,8032080c,afb30024,stack
store,stop_sounds_in_bank,80320810,afb20020,stack
store,stop_sounds_in_bank,80320814,afb00018,stack
store,stop_sounds_in_bank,80320818,afa40030,stack
call,stop_sounds_in_bank,8032084c,0c0c7839,8031e0e4
store,stop_sounds_in_bank,80320864,ac400014,audio-bank
store,stop_sounds_in_continuous_banks,80320894,afbf0014,stack
call,stop_sounds_in_continuous_banks,80320898,0c0c81f7,803207dc
call,stop_sounds_in_continuous_banks,803208a0,0c0c81f7,803207dc
call,stop_sounds_in_continuous_banks,803208a8,0c0c81f7,803207dc
store,update_background_music_after_sound,8031e120,afbf0014,stack
store,update_background_music_after_sound,8031e128,afa40018,stack
store,update_background_music_after_sound,8031e130,afa5001c,stack
store,update_background_music_after_sound,8031e150,a44e0000,music-mask
call,update_background_music_after_sound,8031e154,0c0c8039,803200e4
store,begin_background_music_fade,803200f4,afbf0014,stack
store,begin_background_music_fade,803200f8,afa40020,stack
store,begin_background_music_fade,8032014c,e4e80020,sequence-player
call,begin_background_music_fade,803201e0,0c0c760e,8031d838
store,begin_background_music_fade,803201e4,a3a6001f,stack
store,begin_background_music_fade,80320220,a3a6001f,stack
call,begin_background_music_fade,80320228,0c0c75ec,8031d7b0
store,begin_background_music_fade,8032022c,e4e60020,sequence-player
store,fade_helper_restore,8031d7cc,afa50004,stack
store,fade_helper_restore,8031d7e4,a440000e,sequence-player
store,fade_helper_restore,8031d7f0,e4440018,sequence-player
store,fade_helper_restore,8031d824,a0480002,sequence-player
store,fade_helper_restore,8031d828,a445000e,sequence-player
store,fade_helper_restore,8031d82c,e446001c,sequence-player
store,fade_helper_to_zero,8031d854,afa50004,stack
store,fade_helper_to_zero,8031d85c,afa60008,stack
store,fade_helper_to_zero,8031d878,a440000e,sequence-player
store,fade_helper_to_zero,8031d8b0,e4440018,sequence-player
store,fade_helper_to_zero,8031d910,a0490002,sequence-player
store,fade_helper_to_zero,8031d914,a445000e,sequence-player
store,fade_helper_to_zero,8031d918,e448001c,sequence-player
