kind,routine,pc,word,target_or_class
store,set_camera_shake_from_point,8027f444,afbf002c,stack
store,set_camera_shake_from_point,8027f448,afa40038,stack
store,set_camera_shake_from_point,8027f44c,afa5003c,stack
store,set_camera_shake_from_point,8027f450,afa60040,stack
store,set_camera_shake_from_point,8027f454,afa70044,stack
store,set_camera_shake_from_point,8027f458,afb00028,stack
store,set_camera_shake_from_point,8027f4b4,e7a40010,stack
store,set_camera_shake_from_point,8027f4b8,e7a60014,stack
call,set_camera_shake_from_point,8027f4bc,0c0a2aa0,8028aa80
store,set_camera_shake_from_point,8027f4c0,e7a80018,stack
store,set_camera_shake_from_point,8027f4e8,e7aa0010,stack
store,set_camera_shake_from_point,8027f4ec,e7b00014,stack
call,set_camera_shake_from_point,8027f4f0,0c0a2aa0,8028aa80
store,set_camera_shake_from_point,8027f4f4,e7b20018,stack
call,set_camera_shake_from_point,8027f504,0c0a6945,8029a514
store,set_camera_shake_from_point,8027f534,e7a40010,stack
store,set_camera_shake_from_point,8027f538,e7a60014,stack
call,set_camera_shake_from_point,8027f53c,0c0a2aa0,8028aa80
store,set_camera_shake_from_point,8027f540,e7a80018,stack
call,set_camera_shake_from_point,8027f550,0c0a6945,8029a514
store,set_camera_shake_from_point,8027f57c,e7aa0010,stack
store,set_camera_shake_from_point,8027f580,e7b00014,stack
call,set_camera_shake_from_point,8027f584,0c0a2aa0,8028aa80
store,set_camera_shake_from_point,8027f588,e7b20018,stack
call,set_camera_shake_from_point,8027f598,0c0a6945,8029a514
store,create_sound_spawner,802c9668,afbf0014,stack
store,create_sound_spawner,802c966c,afa40020,stack
call,create_sound_spawner,802c9680,0c0a7994,8029e650
store,create_sound_spawner,802c9688,afa2001c,stack
store,create_sound_spawner,802c9694,adee00f4,object-pool
store,cur_obj_play_sound_2,802c9704,afbf0014,stack
store,cur_obj_play_sound_2,802c9708,afa40018,stack
call,cur_obj_play_sound_2,802c9730,0c0c771e,8031dc78
store,play_sound,8031dc98,ac640000,sound-request
store,play_sound,8031dc9c,ac650004,sound-request
store,play_sound,8031dca4,a0d80000,sound-request-count
store,play_puzzle_jingle,8032122c,afbf0014,stack
call,play_puzzle_jingle,80321238,0c0c7da4,8031f690
store,play_puzzle_jingle,80321248,a02e211c,puzzle-music-state
call,play_puzzle_jingle,8032124c,0c0c8039,803200e4
